"ID","名称","説明","基礎攻撃力","基礎クリティカル確率(%)","基礎クリティカル倍率(%)","XP 増加率(%)","Capacity"
"10010","ショートソード","基本的な短剣。初心者にぴったり。","5","1","150.00","5","7.50"
"10020","ウッドクラブ","木製の棍棒。最初の一歩に最適。","11","2","495.00","6","54.45"
"10030","スティールダガー","鉄製の短剣で基本的な強化版。","24","3","1,633.50","7","395.31"
"10040","アイアンメイス","鉄のこぶし。スタミナが求められる。","53","4","5,390.55","8","2869.93"
"10050","ブロードソード","標準的な長剣。操作しやすい。","117","5","17,788.82","9","20835.68"
"10060","ウォーハンマー","戦闘に適したハンマー。重みが特徴。","258","6","58,703.09","10","151267.06"
"10070","グレートアックス","大型の戦斧。圧倒的な破壊力。","567","7","193,720.20","11","1098198.86"
"10080","ロングボウ","遠距離攻撃が可能な長弓。精度が高い。","1,247","8","639,276.64","12","7972923.71"
"10090","エンチャントソード","魔力が込められた剣。基礎的な魔法。","2,744","9","2,109,612.93","13","57883426.11"
"10100","シルバースピア","銀製の槍。特定の敵に対抗可能。","6,036","10","6,961,722.66","14","420233673.53"
"10110","フレイムダガー","炎の力を持つ短剣。燃え上がる刃。","13,280","11","22,973,684.78","15","3050896469.82"
"10120","アイスハンマー","氷の魔法を宿したハンマー。冷気を放つ。","29,216","12","75,813,159.77","16","22149508370.89"
"10130","サンダーソード","雷の剣。電撃が繰り出される。","64,275","13","250,183,427.24","17","160805430772.65"
"10140","ヴォルトアクス","電撃効果を持つ斧。痺れさせる。","311,091","15","2,724,497,522.68","19","8475668322992.54"
"10150","シャドウブレード","影の力を使う剣。ステルスアタック。","684,400","16","8,990,841,824.83","20","61533352024925.80"
"10160","ウィンドランス","風の力を宿した槍。速攻特化。","1,505,681","17","29,669,778,021.94","21","446732135700961.00"
"10170","デモンスレイヤー","悪魔を退治する剣。特効効果。","3,312,498","18","97,910,267,472.40","22","3243275305188980.00"
"10180","エレメンタルメイス","多属性の力を持つメイス。万能タイプ。","7,287,495","19","323,103,882,658.91","23","23546178715672000.00"
"10190","グリフォンソード","神聖な力の剣。聖なる力で浄化。","16,032,489","20","1,066,242,812,774.40","24","170945257475779000.00"
"10200","タイタンハンマー","巨大な打撃力を持つハンマー。パワフル。","35,271,475","21","3,518,601,282,155.51","25","1241062569274150000.00"
